phase,symbol,config_name,detail,seconds
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,,11.355655800085515
writing_exports,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,checkpoint,8.56828140001744
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,,11.052964700153098
writing_exports,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,checkpoint,8.486313099972904
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,,12.063160300021991
writing_exports,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,checkpoint,8.43598569999449
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,,11.279033500002697
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_1,checkpoint,8.979569799965248
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,,10.969717199914157
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,checkpoint,9.012912600068375
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,,10.847893999889493
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,checkpoint,9.377834300044924
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,,11.22449309984222
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,checkpoint,9.055183700053021
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,,10.972897599916905
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,checkpoint,9.02137460000813
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,,11.056248399894685
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_3,checkpoint,11.197473299922422
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,,14.845558100147173
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,checkpoint,10.638143399963155
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,,13.180537599837407
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,checkpoint,9.803969000000507
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,,18.450583700090647
writing_exports,M2K,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,checkpoint,9.749279099982232
backtest/evaluation,MGC,invalidate_on_opposite_touch__buffer_1,,7.416652100160718
writing_exports,MGC,invalidate_on_opposite_touch__buffer_1,checkpoint,9.725866799941286
backtest/evaluation,MGC,invalidate_on_opposite_touch__buffer_4,,5.764197000069544
writing_exports,MGC,invalidate_on_opposite_touch__buffer_4,checkpoint,9.698258200194687
backtest/evaluation,MGC,invalidate_on_opposite_close_1m__buffer_1,,5.73783540003933
writing_exports,MGC,invalidate_on_opposite_close_1m__buffer_1,checkpoint,9.738028999883682
backtest/evaluation,MGC,invalidate_on_opposite_close_1m__buffer_4,,5.920115199871361
writing_exports,MGC,invalidate_on_opposite_close_1m__buffer_4,checkpoint,9.680101500125602
backtest/evaluation,MGC,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,,5.988287199987099
writing_exports,MGC,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,checkpoint,9.828314599813893
backtest/evaluation,MGC,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,,5.67512740008533
writing_exports,MGC,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,checkpoint,9.987847399897873
backtest/evaluation,MGC,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,,5.845641900086775
writing_exports,MGC,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,checkpoint,9.999862800119445
backtest/evaluation,MGC,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,,5.820219399873167
writing_exports,MGC,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,checkpoint,9.969072199892253
backtest/evaluation,MGC,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,,5.8967273000162095
writing_exports,MGC,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,checkpoint,10.140544899972156
backtest/evaluation,MGC,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,,5.887753299903125
writing_exports,MGC,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,checkpoint,10.13922579982318
backtest/evaluation,MGC,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,,5.779505700105801
writing_exports,MGC,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,checkpoint,10.10375599982217
backtest/evaluation,MGC,invalidate_on_opposite_close_5m__buffer_0,,5.870036300038919
writing_exports,MGC,invalidate_on_opposite_close_5m__buffer_0,checkpoint,10.126008899882436
backtest/evaluation,MGC,invalidate_on_opposite_close_5m__buffer_1,,5.673612100072205
writing_exports,MGC,invalidate_on_opposite_close_5m__buffer_1,checkpoint,10.309842500137165
backtest/evaluation,MGC,invalidate_on_opposite_close_5m__buffer_4,,5.937052600085735
writing_exports,MGC,invalidate_on_opposite_close_5m__buffer_4,checkpoint,10.284126600017771
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,,8.76374140009284
writing_exports,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,checkpoint,10.379391599912196
backtest/evaluation,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,,8.992238299921155
writing_exports,MGC,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,checkpoint,10.40540669998154
