session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2022-11-22,218.0,220.5,2.5,1.0,0.0,51333.0,55936.5,-4603.5,0.08229867796519268,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51115.0, ""last_daily_pnl"": 128.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51333.0, ""last_daily_pnl"": 218.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-23,-227.5,-225.0,2.5,1.0,1.0,51105.5,55936.5,-4831.0,0.08636578977948209,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51333.0, ""last_daily_pnl"": 218.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51105.5, ""last_daily_pnl"": -227.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-24,0.0,0.0,0.0,0.0,0.0,51105.5,55936.5,-4831.0,0.08636578977948209,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51105.5, ""last_daily_pnl"": -227.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51105.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-11-25,0.0,0.0,0.0,0.0,0.0,51105.5,55936.5,-4831.0,0.08636578977948209,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51105.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 51105.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-11-28,130.5,133.0,2.5,1.0,0.0,51236.0,55936.5,-4700.5,0.08403278717831827,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51105.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 51236.0, ""last_daily_pnl"": 130.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-29,-264.0,-259.0,5.0,1.0,1.0,50972.0,55936.5,-4964.5,0.08875242462435083,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51236.0, ""last_daily_pnl"": 130.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50972.0, ""last_daily_pnl"": -264.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-30,-278.0,-273.0,5.0,1.0,1.0,50694.0,55936.5,-5242.5,0.09372234587433965,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50972.0, ""last_daily_pnl"": -264.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50694.0, ""last_daily_pnl"": -278.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-12-01,-83.0,-80.5,2.5,1.0,1.0,50611.0,55936.5,-5325.5,0.09520617128350897,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50694.0, ""last_daily_pnl"": -278.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50611.0, ""last_daily_pnl"": -83.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-12-02,309.0,314.0,5.0,1.0,0.0,50920.0,55936.5,-5016.5,0.08968205018190269,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50611.0, ""last_daily_pnl"": -83.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50920.0, ""last_daily_pnl"": 309.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-12-05,590.0,595.0,5.0,1.0,0.0,51510.0,55936.5,-4426.5,0.07913437558660266,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50920.0, ""last_daily_pnl"": 309.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51510.0, ""last_daily_pnl"": 590.0, ""peak_equity"": 55936.5, ""traded"": true}"
