q_low_pct,q_high_pct,atr_count,median_overall_composite_score,mean_overall_composite_score,median_overall_sharpe,mean_overall_sharpe,median_overall_profit_factor,mean_overall_profit_factor,median_overall_net_pnl,mean_overall_net_pnl,median_overall_max_drawdown_abs,mean_overall_max_drawdown_abs,best_atr_by_score,best_overall_composite_score
25,81,7,-4.327511014800287,-4.29683980047872,-0.5190727445600286,-0.4981821896994048,0.8730414715053579,0.8783171027501668,-32512.99999998421,-31341.42857141301,48045.49999998754,46186.71428570143,40,-3.834745702190764
25,82,7,-4.366592469801875,-4.267405306926351,-0.5329528963726238,-0.48597828290388406,0.8701244577469333,0.8821923374332374,-33424.49999998435,-30916.142857127114,44456.49999998488,46237.49999998702,30,-3.9450989990390735
25,83,7,-4.298548961218484,-4.231388689909116,-0.5240235204297238,-0.47719906904586706,0.8742446113114399,0.8854436676971539,-33462.999999984015,-30729.2142856983,44899.999999987645,46780.357142843844,30,-3.8821718022436
25,84,7,-4.130244384253088,-4.084281698633252,-0.4531714317121174,-0.42409086169353755,0.891932071483354,0.8985305243993291,-29549.499999983484,-27652.428571412358,45207.49999998744,45717.99999998702,30,-3.59014108543985
25,85,7,-3.9983151737628253,-4.0055247317669584,-0.40640258125046325,-0.39958082425586383,0.9040118240232188,0.9051524268030173,-26919.49999998315,-26379.99999998348,44518.49999998715,45921.214285701084,30,-3.7480210331932797
25,86,7,-4.010685237351027,-3.958131813478922,-0.4022093666341535,-0.3899535024277054,0.9046130027076842,0.9082867681899147,-26615.499999983218,-25977.85714284033,45741.999999986976,46815.857142843844,30,-3.564190049142902
25,87,7,-3.997575550431315,-3.9479987889431203,-0.40347379711176967,-0.3896058990074795,0.9055968202194928,0.9095494414675352,-27134.99999998291,-26333.785714268517,47168.99999998648,47275.49999998618,30,-3.5820971586723633
25,88,7,-3.9391080862861614,-3.97178371703788,-0.382039388234471,-0.3987230054043546,0.912013017122967,0.9084938123422174,-26090.999999982654,-27205.428571411143,47464.99999998631,47481.57142855735,30,-3.693239876555298
25,89,7,-3.948719639322141,-3.9241132810994728,-0.390145505427713,-0.3892170323130076,0.9111700014997814,0.9115588787453666,-26949.999999982378,-26826.071428553732,49323.49999998562,48086.071428557174,30,-3.6153507613308618
25,90,7,-3.915103812290129,-3.8911664989297665,-0.3800147187965156,-0.37393669773162536,0.9140701667307916,0.9158645397326612,-26487.99999998226,-26093.49999998204,45934.499999985615,46513.14285712817,30,-3.398743379199021
25,91,7,-4.0133249644655935,-3.9916101778236173,-0.41103842515168065,-0.4084309986379259,0.9087643371344781,0.9092974996647615,-28838.99999998157,-28738.571428553212,46661.49999998543,47343.57142855686,40,-3.7161141757128835
25,92,7,-4.052412184939907,-4.013912038435575,-0.426806847391264,-0.4169989159759752,0.9065438105702326,0.9085719169866989,-30366.99999998127,-29714.14285712439,48022.49999998524,47323.78571427066,30,-3.7029378238017667
25,93,7,-3.9277550098960003,-3.891997208493866,-0.3892914322487309,-0.37973872021487665,0.9149084576459058,0.9170044372263284,-27890.999999981184,-27290.428571409913,47951.99999998495,47315.499999985106,30,-3.530701225187544
25,94,7,-3.861758170991587,-3.8042050133124143,-0.3668013083520402,-0.3489578217926001,0.9200588982527185,0.9240347570718306,-26493.999999981184,-25300.214285695398,47153.499999984895,46244.14285712827,30,-3.4380532896330145
25,95,7,-3.7593147317164997,-3.6857604737411385,-0.3442107573910172,-0.3154242278254315,0.9253567035305413,0.9315601622469305,-25121.49999998114,-23039.642857123825,47476.99999998456,46440.85714284238,30,-3.3585354504980165
25,96,7,-3.5379615907239144,-3.5221001223327244,-0.2672326872135585,-0.27091805129641344,0.941901491760474,0.9415023258564613,-19644.49999998068,-19993.57142855223,46232.99999998443,46709.64285712819,30,-3.0355092567551196
25,97,7,-3.5315831509869913,-3.5194504865582865,-0.2771988180204472,-0.27289520162419534,0.9407519142640135,0.9415319185003986,-20620.999999980442,-20281.357142837842,47525.999999984735,47719.71428569917,30,-3.1989240509310184
25,98,7,-3.4750635012952813,-3.4096029970090163,-0.26268665444638,-0.24429138795144764,0.9438234344692957,0.9478847545602352,-19664.999999980955,-18282.285714266374,48586.99999998453,48662.0714285561,30,-2.9578680563064017
25,99,7,-3.332162271450509,-3.280054550653569,-0.22300507425609173,-0.20812330157960593,0.952550153009234,0.9557134086495334,-16745.99999998042,-15671.785714266302,49128.49999998417,48860.21428569817,30,-2.8213056911535883
25,100,7,-3.355754453943442,-3.29060821690271,-0.23336646170359812,-0.21380282873839354,0.9506161461715684,0.9548289520290252,-17682.99999998036,-16184.571428551617,50143.99999998379,49400.64285712635,30,-2.899932151311414
26,70,7,-4.95364498115019,-4.972672043338434,-0.7378959987399876,-0.7652010456618016,0.799675463533727,0.7932893451436911,-40253.499999987864,-41376.57142855906,47691.9999999894,47045.07142856038,60,-4.6269265202212795
26,71,7,-4.859686031668888,-4.928532961063331,-0.6929555358001489,-0.7371139339622441,0.8129071352825851,0.8023743564716425,-38284.99999998757,-40396.928571415934,46410.49999998955,46449.35714284589,60,-4.780807920551775
