variant_name,session_date,signal_time,signal_index,state_pre,state_post,policy_multiplier,allowed_to_trade,blocked_reason,trade_executed,quantity,trade_number_in_day,exit_reason,overlay_exit_reason,net_pnl_usd,net_pnl_r
giveback_after_1p25r__0p5r,2022-08-08,2022-08-08 10:02:00-04:00,602,neutral,neutral,1.0,True,,True,1,1,stop,,-365.24,-1.0
giveback_after_1p25r__0p5r,2022-08-09,2022-08-09 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,-102.74,-0.40811948836100737
giveback_after_1p25r__0p5r,2022-08-10,2022-08-10 11:02:00-04:00,662,neutral,neutral,1.0,True,,True,1,1,time_exit,,62.76,0.3425016371971185
giveback_after_1p25r__0p5r,2022-08-11,2022-08-11 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,stop,,-129.74,-1.0
giveback_after_1p25r__0p5r,2022-08-12,2022-08-12 10:10:00-04:00,610,neutral,neutral,1.0,True,,True,1,1,time_exit,,259.76,1.5213775330912498
giveback_after_1p25r__0p5r,2022-08-16,2022-08-16 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,stop,,-175.24,-1.0
giveback_after_1p25r__0p5r,2022-08-17,2022-08-17 10:14:00-04:00,614,neutral,neutral,1.0,True,,True,1,1,stop,,-169.74,-1.0
giveback_after_1p25r__0p5r,2022-08-18,2022-08-18 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,stop,,-150.24,-1.0
giveback_after_1p25r__0p5r,2022-08-19,2022-08-19 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,66.76,0.2555504516919308
giveback_after_1p25r__0p5r,2022-08-22,2022-08-22 10:10:00-04:00,610,neutral,neutral,1.0,True,,True,1,1,time_exit,,175.26,0.948684637869438
giveback_after_1p25r__0p5r,2022-08-23,2022-08-23 10:09:00-04:00,609,neutral,neutral,1.0,True,,True,1,1,time_exit,,-187.74,-0.7227997227997228
giveback_after_1p25r__0p5r,2022-08-24,2022-08-24 10:00:00-04:00,600,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,104.26,0.735572174403838
giveback_after_1p25r__0p5r,2022-08-25,2022-08-25 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,199.26,1.0756855970632693
giveback_after_1p25r__0p5r,2022-08-26,2022-08-26 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,stop,,-179.24,-1.0
giveback_after_1p25r__0p5r,2022-08-29,2022-08-29 10:53:00-04:00,653,neutral,neutral,1.0,True,,True,1,1,time_exit,,-55.74,-0.1996132359260851
giveback_after_1p25r__0p5r,2022-08-30,2022-08-30 10:05:00-04:00,605,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,192.26,0.6424943189413179
giveback_after_1p25r__0p5r,2022-08-31,2022-08-31 10:29:00-04:00,629,neutral,neutral,1.0,True,,True,1,1,time_exit,,184.26,0.7107699429100447
giveback_after_1p25r__0p5r,2022-09-01,2022-09-01 10:02:00-04:00,602,neutral,neutral,1.0,True,,True,1,1,stop,,-207.24,-1.0
giveback_after_1p25r__0p5r,2022-09-02,2022-09-02 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,stop,,-256.24,-1.0
giveback_after_1p25r__0p5r,2022-09-06,2022-09-06 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,time_exit,,-67.74,-0.17606695430680458
giveback_after_1p25r__0p5r,2022-09-07,2022-09-07 11:12:00-04:00,672,neutral,neutral,1.0,True,,True,1,1,time_exit,,234.76,1.1061062947606481
